car,customer,delivery,just,model,new,service,tesla,time,told
0.7405780231354196,0.22555909862244533,0.0,0.606440757478249,0.0,0.0,0.181375004746165,0.0,0.0,0.0
0.8113820073149409,0.0,0.0,0.0,0.5845162428928533,0.0,0.0,0.0,0.0,0.0
0.0,0.5280453078011278,0.0,0.0,0.0,0.0,0.8492161991561467,0.0,0.0,0.0
0.0,0.5455610779631004,0.0,0.0,0.0,0.0,0.21934637908469107,0.8088573892808144,0.0,0.0
0.2535711479861268,0.0,0.0,0.0,0.0,0.0,0.0,0.4580131391912816,0.8520126978145018,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5173088091865162,0.0,0.0,0.0,0.8557988057587067,0.0,0.0
0.0,0.5274297752355888,0.0,0.0,0.6237582874910892,0.0,0.4241131418367191,0.3909878180998826,0.0,0.0
0.0,0.34047227097636656,0.0,0.4576988096961232,0.0,0.0,0.8213345434711409,0.0,0.0,0.0
0.0,0.674792865177288,0.0,0.0,0.0,0.0,0.5426097190123716,0.500229229393027,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.5910658226374823,0.4320525968065876,0.0,0.0,0.0,0.0,0.23161274147951044,0.6405679393217444,0.0,0.0
0.3004364232981838,0.0,0.0,0.0,0.8657326279913803,0.0,0.2943196044134556,0.2713317947547612,0.0,0.0
0.5805030080411198,0.23573970808552291,0.5630393595537434,0.15845311496210654,0.13939732217752987,0.332527102962402,0.1895613652209218,0.26213353444832926,0.0,0.1751255233752434
0.2667836438540952,0.0,0.0,0.0,0.0,0.0,0.0,0.9637564460858,0.0,0.0
0.6625631294742,0.0,0.0,0.3617042126224156,0.15910257956100934,0.0,0.21635783041330794,0.5983776570264232,0.0,0.0
0.0,0.674792865177288,0.0,0.0,0.0,0.0,0.5426097190123716,0.500229229393027,0.0,0.0
0.24570872382495315,0.5986873662276476,0.0,0.0,0.3540150972078739,0.42224489265857373,0.24070614875254506,0.22190581385053226,0.4127972648412475,0.0
0.9113877448393194,0.0,0.0,0.0,0.0,0.0,0.0,0.4115487559897365,0.0,0.0
0.9139153089325394,0.0,0.0,0.0,0.0,0.0,0.2984360653739817,0.2751267398542674,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2797478250118159,0.34081306914351445,0.0,0.0,0.0,0.4807403192885237,0.0,0.7579421823018594,0.0,0.0
0.0,0.0,0.0,0.6980397355394978,0.0,0.0,0.0,0.0,0.7160590252262364,0.0
0.0,0.43010804458816665,0.0,0.0,0.0,0.0,0.0,0.6376849157809438,0.0,0.6390344420811717
0.0,0.6457517642088723,0.0,0.0,0.0,0.0,0.25962869601256183,0.7180512511150899,0.0,0.0
0.0,0.49979432760564513,0.0,0.6718763562800002,0.0,0.0,0.4018911189803791,0.3705014445988437,0.0,0.0
0.4565761032394443,0.556240617906676,0.0,0.0,0.32891553676835544,0.3923078609128945,0.22364015756621258,0.41234552113922224,0.0,0.0
0.8279476114747856,0.0,0.0,0.0,0.0,0.0,0.0,0.5608054499139585,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.2683796507870691,0.0,0.5206116233792366,0.0,0.3866791812800529,0.0,0.2629155006744119,0.4847610121588858,0.45088503191639745,0.0
